Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"zapopan","04/29/2018",27.9,31.2,29.5,8.6,27.54,29.3,10.8,,300,,0,0,,12,85,1010.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","04/30/2018",21.6,31.7,27.1,6.8,30.25,29.5,10.8,,203.33,,0,0,,12,60,1012.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","05/01/2018",15.1,30.1,25.2,6.3,32.48,28.2,9.4,,158.5,,0,0,,13.2,84.3,1011.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","05/02/2018",24.1,31.9,27.9,9.5,32.46,30,7.2,,140,,0,0,,11.2,50,1011,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","05/03/2018",21.4,28.7,25.9,12.1,43.79,27.9,7.1,,337.33,,0,0,,12,86.9,1012.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","05/04/2018",27.1,28.4,27.7,11.3,36.08,27.8,7.2,,10,,0,0,,11.7,75,1010.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","05/05/2018",,,,,,,,,,,,,,,,,"",20.72163,-103.39335,"Zapopan, JAL, México","","",""
"zapopan","05/06/2018",17.1,27.4,21.7,14.5,65.59,27.4,7.2,,77.5,,0,0,,12.4,70,1014.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","No data available","Partially cloudy"
"zapopan","05/07/2018",21.7,28.9,25.9,12.3,44.41,28,7.2,,80,,0,0,,12,63.3,1012.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","05/08/2018",20.1,24,22,12.7,55.78,,4,,326,,0,0,,14.2,64.1,1015.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","05/09/2018",20.1,26.4,23.2,14.4,59.07,,3.6,,270,,0,0,,12,10,1012.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","05/10/2018",28.1,29.4,28.7,10.7,32.94,28.7,7.6,,340,,0,0,,14.1,45,1005.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","05/11/2018",19.4,28.9,24.1,13,52.35,28.2,7.2,,270,,0,0,,12,20,1013.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","05/12/2018",21.1,21.1,21.1,16.1,73.12,,9.4,,10,,0,0,,6.4,90,1011.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Overcast"
"zapopan","05/13/2018",21.7,31.3,26.9,14.6,49.39,30.5,6.7,,140,,0,0,,12,72.7,1009.9,"Sky Coverage Increasing",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","05/14/2018",19.5,29.7,25,14.1,52.95,29.2,13,,85.5,,0,0,,13,40.5,1010.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","05/15/2018",,,,,,,,,,,,,,,,,"",20.72163,-103.39335,"Zapopan, JAL, México","","",""
"zapopan","05/16/2018",23.1,32.3,28.1,12.5,39.6,30.7,11.2,,223.25,,0,0,,12.2,20.3,1007.5,"",20.72163,-103.39335,"Zapopan, JAL, México","","No data available","Clear"
"zapopan","05/17/2018",23.9,31.1,27.5,10.2,35.51,29.4,11.2,,325,,0,0,,12.5,20,1010.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","05/18/2018",21.4,32,26.7,8,34.1,29.9,11.4,,319.5,,0,0,,12,0,1007.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","05/19/2018",22.9,31.1,27,4.1,25.52,29,25.9,,295,,0,0,,14.1,0,1010.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","05/20/2018",21.5,30.9,26.3,-3.6,15.17,28.9,7.2,,317.67,,0,0,,12.2,0,1011,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
