TOTAL,MES,DIA,DIA2,Temperature,Relative Humidity,Wind Speed,Wind Direction,luna,P
85,2,1,4,15.9,66.41,3.6,150,99.73054503,100
90,2,2,5,20.7,56.58,7.2,120,97.19343677,100
86,2,3,6,19.4,66.17,3.6,90,92.23445207,100
71,2,4,7,27.5,19.49,3.6,290,85.2760778,100
65,2,5,1,26.9,27.13,3.6,270,76.81398588,100
76,2,6,2,22.7,45.07,10.8,163.33,67.35847051,100
83,2,7,3,19.6,46.47,13,335,57.39269065,100
77,2,8,4,20.7,51.68,7.4,113.5,47.35002316,100
77,2,9,5,15.6,82.58,3.6,140,37.60722039,100
81,2,10,6,16.9,67.48,11.2,145,28.48752068,100
75,2,11,7,21.3,46.05,3.7,160.5,20.26808667,100
87,2,12,1,22.1,37.88,14.8,214,13.18792134,100
63,2,13,2,18.4,61.57,7.2,80,7.454405845,100
80,2,14,3,23.5,47.6,7.2,123.33,3.247909971,100
63,2,15,4,23.3,43.24,3.6,146.67,0.724239823,100
72,2,16,5,22.5,50.87,3.6,180,0.014231622,100
73,2,17,6,23.7,46.84,9.4,87.5,1.219116635,100
86,2,18,7,22.9,40.09,7.2,260,4.39999722,100
71,2,19,1,19,53.99,7.2,240,9.560403559,100
75,2,20,2,23.7,37.71,7.2,185,16.62269621,100
69,2,21,3,23.8,31.95,13,150,25.401885,100
62,2,22,4,21.6,53.2,7.2,233.33,35.58355155,100
74,2,23,5,22.2,43.29,7.2,220,46.71473167,100
58,2,24,6,23,42.46,10.8,90,58.21631546,100
66,2,25,7,22.1,33.05,5.4,130,69.42170051,100
81,2,26,1,21.3,44.02,7.2,220,79.63940562,100
72,2,27,2,23.6,40.21,7.6,100,88.22926833,100
85,2,28,3,27.8,24.96,18.4,303.33,94.67606744,100
72,3,1,4,24.9,29.1,18.4,130.8,98.6438315,100
68,3,2,5,23.7,31.32,14.8,132.5,99.99941222,100
62,3,3,6,23.9,54.9,7.2,90,98.80303385,100
92,3,4,7,24.1,42.27,7.2,220,95.27268438,100
76,3,5,1,24.3,30.37,7.6,263,89.73490836,100
72,3,6,2,20.7,40.69,10.8,163.33,82.57526293,100
78,3,7,3,23.4,41.27,3.6,263.33,74.19820225,100
74,3,8,4,24,31.51,10.8,130,65.00072446,100
85,3,9,5,23.5,26.67,10.8,233.33,55.35914524,100
76,3,10,6,28.8,27.94,7.2,90,45.62536467,100
81,3,11,7,26.8,26.75,7.2,216.67,36.12827902,100
72,3,12,1,25,33.89,7.2,210,27.17692404,100
73,3,13,2,22.9,36.06,10.8,165,19.06346716,100
59,3,14,3,24.4,34.49,7.2,173.33,12.0653301,100
67,3,15,4,22.5,41.41,10.8,153.33,6.445994652,100
69,3,16,5,23.8,30.97,10.8,146.67,2.453469538,100
75,3,17,6,23.7,35.47,7.2,90,0.314502668,100
76,3,18,7,26.4,20.82,7.2,300,0.222173447,100
63,3,19,1,24,28.87,14.4,307,2.315186878,100
67,3,20,2,22.85,51.98,8.09,233,6.649351823,100
75,3,21,3,26.8,26.51,9.4,166.25,13.16510454,100
70,3,22,4,27.5,26.31,7.6,187.5,21.65856224,100
83,3,23,5,27,30.16,7.2,130,31.76589291,100
70,3,24,6,28,26.33,9.4,139.25,42.97013983,100
